symbol,is_weekly,strategy,score,spot,iv_pct,hv_pct,iv_hv,rsi,dte_earn,rationale,dte_target,size_note
TTWO,True,EARNINGS STRANGLE SELL,83.3,242.44,58.3,32.3,1.81,81.3,4.0,"IV/HV=1.81, RSI=81, earnings 4d — sell IV crush",Sell 1-2d before event; close same day,25% size — gamma spikes
KR,True,SHORT STRANGLE,71.4,66.02,45.9,22.3,2.05,52.6,,"IV/HV=2.05, RSI neutral=53 — delta-neutral premium",30-45 DTE,1-SD strikes both sides
EA,True,CASH-SECURED PUT,70.4,200.64,10.3,3.7,2.77,24.7,72.0,"IV/HV=2.77, RSI=25 oversold — rich premium + dip entry",30-45 DTE,Full size
KVUE,True,SHORT STRANGLE,69.9,17.11,48.1,21.9,2.2,45.8,80.0,"IV/HV=2.20, RSI neutral=46 — delta-neutral premium",30-45 DTE,1-SD strikes both sides
WBD,True,SHORT STRANGLE,69.7,26.98,20.1,8.3,2.43,56.8,81.0,"IV/HV=2.43, RSI neutral=57 — delta-neutral premium",30-45 DTE,1-SD strikes both sides
DECK,True,EARNINGS STRANGLE SELL,69.5,93.56,62.2,39.5,1.58,27.6,4.0,"IV/HV=1.58, RSI=28, earnings 4d — sell IV crush",Sell 1-2d before event; close same day,25% size — gamma spikes
HRL,True,CASH-SECURED PUT,68.8,19.74,46.6,21.8,2.14,27.3,10.0,"IV/HV=2.14, RSI=27 oversold — rich premium + dip entry",30-45 DTE,Full size
ULTA,True,CASH-SECURED PUT,68.0,494.28,55.9,26.7,2.09,28.7,16.0,"IV/HV=2.09, RSI=29 oversold — rich premium + dip entry",30-45 DTE,Full size
CPB,True,SHORT STRANGLE,67.6,20.01,50.9,24.3,2.09,40.1,21.0,"IV/HV=2.09, RSI neutral=40 — delta-neutral premium",30-45 DTE,1-SD strikes both sides
ROST,True,EARNINGS STRANGLE SELL,67.6,212.75,39.8,25.8,1.54,32.6,4.0,"IV/HV=1.54, RSI=33, earnings 4d — sell IV crush",Sell 1-2d before event; close same day,25% size — gamma spikes
WMT,True,EARNINGS STRANGLE SELL,66.5,131.45,38.1,25.0,1.52,62.5,3.0,"IV/HV=1.52, RSI=62, earnings 3d — sell IV crush",Sell 1-2d before event; close same day,25% size — gamma spikes
ADI,True,EARNINGS STRANGLE SELL,65.6,417.49,54.1,35.9,1.51,61.9,2.0,"IV/HV=1.51, RSI=62, earnings 2d — sell IV crush",Sell 1-2d before event; close same day,25% size — gamma spikes
AES,True,COVERED CALL / BEAR CALL SPREAD,63.9,14.47,18.8,4.1,4.64,69.8,74.0,"IV/HV=4.64, RSI=70 elevated — fade + collect",21-35 DTE,0.20-delta OTM call
NDAQ,True,SHORT STRANGLE,60.2,91.06,45.9,25.2,1.82,54.0,66.0,"IV/HV=1.82, RSI neutral=54 — delta-neutral premium",30-45 DTE,1-SD strikes both sides
KHC,True,COVERED CALL / BEAR CALL SPREAD,60.0,22.92,62.8,25.0,2.51,62.1,72.0,"IV/HV=2.51, RSI=62 elevated — fade + collect",21-35 DTE,0.20-delta OTM call
MGM,True,CASH-SECURED PUT,47.6,36.97,43.0,26.7,1.61,24.0,73.0,"IV/HV=1.61, RSI=24 oversold — rich premium + dip entry",30-45 DTE,Full size
BBY,True,CASH-SECURED PUT,46.5,56.28,58.4,33.5,1.74,38.8,10.0,"IV/HV=1.74, RSI=39 oversold — rich premium + dip entry",30-45 DTE,Full size
WDC,True,COVERED CALL / BEAR CALL SPREAD,45.7,482.02,84.8,49.6,1.71,68.2,73.0,"IV/HV=1.71, RSI=68 elevated — fade + collect",21-35 DTE,0.20-delta OTM call
WYNN,True,CASH-SECURED PUT,45.2,95.42,49.1,30.0,1.63,30.2,81.0,"IV/HV=1.63, RSI=30 oversold — rich premium + dip entry",30-45 DTE,Full size
COST,True,COVERED CALL / BEAR CALL SPREAD,44.9,1048.95,32.0,19.1,1.68,70.2,11.0,"IV/HV=1.68, RSI=70 elevated — fade + collect",21-35 DTE,0.20-delta OTM call
STX,True,COVERED CALL / BEAR CALL SPREAD,43.2,795.47,82.5,51.8,1.59,77.2,72.0,"IV/HV=1.59, RSI=77 elevated — fade + collect",21-35 DTE,0.20-delta OTM call
CRWD,True,CALENDAR (pre-earnings),42.7,594.08,62.2,51.0,1.22,89.9,17.0,"IV/HV=1.22, earnings 17d — sell near, buy far for IV term expansion",Short: 7-14d / Long: 30-45d,Short inside earnings window
CIEN,True,SHORT STRANGLE,42.4,554.46,102.0,65.4,1.56,58.8,17.0,"IV/HV=1.56, RSI neutral=59 — delta-neutral premium",30-45 DTE,1-SD strikes both sides
SLB,True,SHORT STRANGLE,40.9,55.38,39.1,26.4,1.48,50.8,67.0,"IV/HV=1.48, RSI neutral=51 — delta-neutral premium",30-45 DTE,1-SD strikes both sides
LULU,True,CALENDAR (pre-earnings),40.4,119.14,62.4,52.5,1.19,12.5,18.0,"IV/HV=1.19, earnings 18d — sell near, buy far for IV term expansion",Short: 7-14d / Long: 30-45d,Short inside earnings window
CAG,True,SHORT STRANGLE,40.2,13.43,43.7,28.8,1.52,44.1,,"IV/HV=1.52, RSI neutral=44 — delta-neutral premium",30-45 DTE,1-SD strikes both sides
PANW,True,COVERED CALL / BEAR CALL SPREAD,38.6,242.83,67.2,48.4,1.39,92.8,16.0,"IV/HV=1.39, RSI=93 elevated — fade + collect",21-35 DTE,0.20-delta OTM call
PGR,True,SHORT STRANGLE,38.4,199.73,32.0,21.6,1.48,44.9,58.0,"IV/HV=1.48, RSI neutral=45 — delta-neutral premium",30-45 DTE,1-SD strikes both sides
NKE,True,CASH-SECURED PUT,37.6,41.88,38.7,26.9,1.44,23.0,39.0,"IV/HV=1.44, RSI=23 oversold — rich premium + dip entry",30-45 DTE,Full size
CVNA,True,BULL PUT SPREAD,36.9,67.17,63.0,51.6,1.22,19.9,73.0,"IV/HV=1.22, RSI=20 — defined-risk bullish",21-35 DTE,Risk ~1% portfolio
GDDY,True,SHORT STRANGLE,36.8,87.18,52.9,36.5,1.45,56.7,,"IV/HV=1.45, RSI neutral=57 — delta-neutral premium",30-45 DTE,1-SD strikes both sides
DHR,True,BULL PUT SPREAD,36.0,161.91,31.7,28.0,1.13,8.0,64.0,"IV/HV=1.13, RSI=8 — defined-risk bullish",21-35 DTE,Risk ~1% portfolio
DG,True,CASH-SECURED PUT,35.7,102.38,56.3,39.4,1.43,25.4,15.0,"IV/HV=1.43, RSI=25 oversold — rich premium + dip entry",30-45 DTE,Full size
MRNA,True,SHORT STRANGLE,35.1,49.04,76.8,55.4,1.39,50.8,74.0,"IV/HV=1.39, RSI neutral=51 — delta-neutral premium",30-45 DTE,1-SD strikes both sides
MMM,True,IRON CONDOR,34.9,146.22,30.6,24.5,1.25,50.9,64.0,"IV/HV=1.25, RSI neutral=51 — balanced wings",30-45 DTE,1-SD wings; hedge at 1.5-SD
AMAT,True,IRON CONDOR,33.8,436.62,58.2,47.2,1.23,60.0,88.0,"IV/HV=1.23, RSI neutral=60 — balanced wings",30-45 DTE,1-SD wings; hedge at 1.5-SD
ABNB,True,BULL PUT SPREAD,33.8,132.85,34.2,27.4,1.24,29.6,80.0,"IV/HV=1.24, RSI=30 — defined-risk bullish",21-35 DTE,Risk ~1% portfolio
AFL,True,IRON CONDOR,33.4,116.81,19.8,16.1,1.23,57.9,,"IV/HV=1.23, RSI neutral=58 — balanced wings",30-45 DTE,1-SD wings; hedge at 1.5-SD
TJX,True,CASH-SECURED PUT,33.4,147.43,28.0,20.6,1.36,22.1,2.0,"IV/HV=1.36, RSI=22 oversold — rich premium + dip entry",30-45 DTE,Full size
ICE,True,IRON CONDOR,33.4,154.36,26.1,21.2,1.23,43.8,73.0,"IV/HV=1.23, RSI neutral=44 — balanced wings",30-45 DTE,1-SD wings; hedge at 1.5-SD
